nodeId,birthday,education;classes;id,education;concentration;id,education;degree;id,education;school;id,education;type,education;with;id,education;year;id,first_name,gender,hometown;id,languages;id,last_name,locale,location;id,work;employer;id,work;end_date,work;location;id,work;position;id,work;start_date,work;with;id
27,-1,-1,-1,-1,52,55,-1,72,-1,78,-1,-1,-1,127,-1,-1,172,-1,-1,204,-1
28,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,124,127,-1,-1,-1,-1,-1,-1,-1
29,-1,-1,-1,-1,52,55,-1,72,-1,78,-1,-1,-1,127,138,-1,172,138,-1,204,-1
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
31,-1,-1,-1,-1,52,55,-1,72,-1,78,-1,-1,-1,127,-1,156,172,138,-1,-1,-1
32,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
33,-1,-1,19,-1,-1,55,-1,-1,-1,78,-1,-1,124,127,138,-1,172,-1,-1,204,-1
34,-1,-1,-1,-1,-1,55,-1,72,-1,78,-1,103,-1,127,-1,-1,-1,-1,-1,204,-1
35,-1,-1,-1,-1,52,55,-1,-1,-1,78,89,-1,-1,127,138,-1,-1,-1,-1,-1,-1
36,-1,-1,19,23,52,55,-1,72,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
37,-1,-1,-1,-1,-1,55,-1,72,-1,78,-1,-1,124,127,-1,156,172,-1,193,204,-1
38,-1,-1,19,-1,52,55,-1,72,-1,78,-1,-1,-1,127,-1,156,172,138,-1,204,-1
39,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
40,7,-1,19,-1,52,55,-1,72,-1,78,-1,103,-1,127,138,156,172,-1,193,204,-1
41,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,-1,127,138,-1,-1,-1,-1,-1,-1
42,-1,-1,-1,-1,-1,55,-1,-1,-1,78,-1,-1,124,127,-1,-1,172,-1,-1,204,-1
43,7,-1,-1,-1,-1,55,-1,72,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,204,-1
44,-1,-1,-1,-1,52,55,-1,72,-1,78,89,-1,-1,127,-1,-1,172,-1,-1,-1,-1
45,7,-1,-1,-1,52,55,-1,-1,-1,78,-1,-1,-1,127,138,-1,-1,-1,-1,-1,-1
46,-1,-1,-1,-1,52,55,-1,-1,-1,78,-1,-1,124,127,-1,-1,-1,-1,-1,-1,-1
47,-1,-1,19,-1,52,55,-1,72,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
48,-1,-1,-1,-1,52,55,-1,72,-1,78,-1,103,-1,127,138,-1,172,-1,-1,204,-1
49,-1,-1,-1,-1,52,55,-1,72,-1,78,-1,103,-1,127,-1,-1,172,-1,-1,204,-1
50,-1,-1,-1,-1,52,55,-1,72,-1,78,-1,-1,124,127,-1,-1,-1,-1,-1,204,-1
51,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
52,-1,-1,-1,-1,52,55,-1,72,-1,78,-1,-1,-1,127,138,-1,-1,-1,-1,-1,-1
53,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
54,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,103,-1,127,138,-1,-1,-1,-1,-1,-1
55,-1,-1,19,-1,52,55,-1,72,-1,78,-1,103,-1,127,138,-1,-1,-1,-1,-1,-1
56,7,12,-1,-1,52,55,-1,72,76,78,-1,-1,124,127,138,156,172,138,193,204,-1
57,-1,-1,-1,-1,52,55,-1,-1,-1,78,-1,-1,124,127,138,-1,-1,-1,-1,-1,-1
58,-1,-1,19,23,52,55,-1,72,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
59,-1,-1,-1,-1,52,55,-1,72,-1,78,89,-1,124,127,138,-1,-1,-1,-1,-1,-1
60,-1,-1,-1,-1,52,55,-1,72,-1,78,-1,-1,-1,127,-1,156,-1,-1,-1,-1,-1
61,-1,-1,-1,-1,-1,55,-1,72,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
62,-1,-1,19,-1,52,55,-1,-1,-1,78,-1,103,-1,127,138,-1,-1,-1,-1,-1,-1
63,-1,-1,19,-1,52,55,-1,72,-1,78,-1,103,-1,127,-1,-1,172,138,193,204,-1
64,7,-1,-1,-1,52,55,-1,72,-1,78,-1,-1,-1,127,138,-1,-1,-1,-1,-1,-1
65,7,-1,-1,-1,52,55,-1,72,-1,78,89,-1,-1,127,138,-1,172,138,193,204,-1
66,7,-1,-1,-1,52,55,-1,72,-1,78,-1,-1,-1,127,138,-1,-1,-1,-1,-1,-1
67,-1,-1,-1,-1,52,55,-1,72,-1,78,-1,103,-1,127,138,156,172,138,193,204,-1
68,-1,-1,-1,-1,52,55,-1,-1,-1,78,-1,-1,124,127,-1,-1,-1,-1,-1,-1,-1
69,7,-1,19,-1,52,55,-1,72,-1,78,-1,103,-1,127,-1,-1,172,-1,193,204,-1
70,7,-1,19,-1,-1,55,-1,72,-1,78,-1,-1,-1,127,-1,-1,172,-1,-1,204,-1
71,-1,-1,-1,-1,-1,55,-1,72,-1,78,-1,103,124,127,138,156,172,138,193,204,-1
72,-1,12,19,-1,52,55,-1,72,-1,78,-1,103,-1,127,-1,156,172,138,193,204,-1
73,7,-1,19,23,52,55,-1,72,-1,78,-1,103,-1,127,138,-1,172,138,193,204,-1
74,-1,-1,-1,-1,-1,55,-1,-1,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
75,7,-1,-1,-1,52,55,-1,72,-1,78,-1,-1,-1,127,138,-1,-1,-1,-1,-1,-1
76,-1,-1,-1,-1,-1,55,-1,-1,-1,78,-1,103,124,127,-1,-1,-1,-1,-1,-1,-1
77,-1,-1,19,-1,52,55,-1,-1,-1,-1,-1,-1,-1,127,138,156,172,-1,193,204,-1
78,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
79,-1,-1,-1,-1,52,55,-1,72,-1,78,-1,103,-1,127,138,-1,-1,138,-1,-1,-1
80,-1,-1,-1,-1,52,55,-1,72,-1,78,-1,103,-1,127,138,156,172,138,193,204,-1
81,-1,-1,19,23,52,55,-1,72,-1,78,-1,103,-1,127,138,-1,172,-1,193,-1,-1
82,7,-1,19,-1,52,55,-1,72,-1,78,89,103,-1,127,-1,-1,-1,-1,-1,-1,-1
83,-1,-1,-1,-1,52,55,-1,72,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
84,-1,-1,-1,-1,52,55,-1,72,-1,78,-1,-1,-1,127,138,-1,172,-1,-1,204,-1
85,7,-1,19,-1,52,55,-1,72,-1,78,-1,-1,-1,127,-1,156,-1,-1,-1,204,-1
86,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
87,7,-1,-1,-1,52,55,-1,72,-1,78,-1,-1,124,127,-1,-1,-1,-1,-1,-1,-1
88,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
89,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,124,127,-1,-1,-1,-1,-1,-1,-1
90,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
91,7,-1,-1,-1,52,55,-1,72,-1,78,-1,-1,-1,127,138,156,-1,-1,-1,204,-1
92,7,-1,19,23,52,55,-1,72,-1,78,-1,-1,-1,127,138,-1,-1,-1,-1,-1,-1
93,-1,-1,-1,-1,-1,55,-1,-1,-1,78,89,103,-1,127,-1,-1,-1,-1,-1,204,-1
94,-1,-1,-1,-1,52,55,-1,72,-1,78,-1,-1,-1,127,-1,156,172,-1,-1,204,-1
95,-1,-1,-1,-1,52,55,-1,-1,-1,78,-1,-1,-1,127,138,-1,-1,-1,-1,-1,-1
96,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
97,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
98,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
99,7,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
100,-1,-1,19,-1,52,55,-1,72,-1,78,-1,103,-1,127,138,156,172,138,193,204,-1
101,-1,-1,-1,-1,52,55,-1,72,-1,78,-1,-1,124,127,138,-1,-1,-1,-1,-1,-1
102,-1,-1,-1,-1,52,55,-1,-1,-1,78,-1,-1,-1,127,138,-1,-1,-1,-1,-1,-1
103,-1,-1,-1,-1,52,55,-1,72,-1,78,-1,103,-1,127,-1,156,172,138,193,204,-1
104,-1,-1,-1,-1,52,55,-1,72,-1,78,89,103,-1,127,138,156,-1,-1,-1,-1,-1
105,-1,-1,19,-1,52,55,-1,72,-1,78,-1,-1,-1,127,-1,156,172,138,193,204,-1
106,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
107,-1,-1,-1,23,52,55,-1,72,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
108,-1,-1,-1,-1,-1,55,-1,72,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
109,7,-1,-1,-1,52,55,-1,72,-1,78,-1,103,124,127,138,156,172,138,-1,204,-1
110,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
111,7,-1,-1,-1,52,55,-1,72,-1,78,89,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
112,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
113,-1,-1,19,-1,52,55,-1,72,-1,78,-1,103,-1,127,138,-1,172,138,193,204,-1
114,-1,-1,-1,-1,52,55,-1,72,-1,78,-1,103,-1,127,138,-1,172,138,-1,-1,-1
115,-1,-1,-1,-1,52,55,-1,72,-1,78,89,-1,-1,127,-1,156,-1,-1,-1,204,-1
116,-1,-1,-1,-1,52,55,-1,-1,-1,78,89,-1,124,127,138,-1,-1,-1,-1,-1,-1
117,-1,-1,-1,-1,52,55,-1,-1,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
118,7,-1,-1,-1,52,55,-1,72,-1,78,-1,103,124,127,138,-1,172,138,-1,204,-1
119,-1,-1,19,23,52,55,-1,72,-1,78,-1,-1,-1,127,138,156,172,138,193,204,-1
120,7,-1,19,-1,52,55,-1,72,-1,78,89,103,-1,127,-1,-1,172,138,-1,204,-1
121,7,-1,-1,-1,52,55,-1,-1,-1,78,89,-1,-1,127,-1,156,-1,138,-1,-1,-1
122,-1,-1,-1,-1,52,55,-1,72,-1,78,-1,-1,-1,127,-1,156,-1,-1,-1,-1,-1
123,7,-1,19,-1,52,55,-1,72,-1,78,-1,103,-1,127,138,-1,-1,-1,-1,-1,-1
124,-1,-1,-1,-1,-1,55,-1,72,-1,78,-1,-1,-1,127,-1,-1,-1,138,193,204,-1
125,7,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
126,-1,-1,-1,-1,52,55,-1,72,-1,78,-1,-1,-1,127,138,-1,-1,-1,-1,-1,-1
127,-1,-1,-1,23,-1,55,-1,72,-1,78,-1,-1,-1,127,-1,-1,172,-1,193,204,-1
128,7,-1,-1,-1,52,55,-1,72,-1,78,-1,-1,-1,127,138,156,-1,-1,193,-1,-1
129,-1,-1,19,-1,52,55,-1,72,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
130,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,-1,127,138,-1,-1,-1,-1,-1,-1
131,-1,-1,-1,-1,-1,-1,-1,-1,76,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
132,-1,-1,-1,-1,52,55,-1,-1,-1,78,-1,103,-1,127,138,156,172,138,-1,204,-1
133,7,-1,-1,-1,52,55,-1,72,-1,78,-1,-1,-1,127,138,-1,-1,-1,-1,-1,-1
134,7,-1,19,-1,52,55,-1,72,-1,78,-1,-1,-1,127,138,156,-1,-1,-1,-1,-1
135,7,-1,-1,-1,52,55,-1,72,-1,78,-1,-1,-1,127,138,-1,-1,-1,-1,-1,-1
136,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
137,-1,-1,-1,-1,-1,55,-1,-1,-1,78,89,-1,-1,127,138,-1,172,-1,-1,-1,-1
138,7,-1,-1,-1,-1,55,-1,72,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
139,7,-1,-1,-1,-1,55,-1,72,-1,78,-1,103,-1,127,-1,156,172,138,-1,204,-1
140,7,-1,-1,-1,52,55,-1,72,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
141,7,-1,19,-1,52,55,-1,72,-1,78,-1,103,-1,127,138,-1,172,138,193,204,-1
142,-1,-1,-1,-1,52,55,-1,72,-1,78,-1,-1,-1,127,138,156,-1,-1,-1,204,-1
143,-1,-1,-1,-1,52,55,-1,72,-1,78,89,-1,-1,127,-1,-1,-1,138,-1,-1,-1
144,7,-1,-1,-1,52,55,-1,-1,-1,78,-1,-1,-1,127,138,-1,-1,138,-1,-1,-1
145,-1,-1,-1,-1,-1,55,-1,-1,-1,78,-1,-1,-1,127,-1,-1,172,-1,-1,204,-1
146,-1,-1,19,-1,52,55,-1,72,-1,78,-1,103,-1,127,138,-1,-1,-1,-1,-1,-1
147,7,-1,-1,-1,52,55,-1,72,-1,78,-1,-1,124,127,138,-1,172,-1,-1,204,-1
148,-1,-1,-1,-1,52,55,-1,72,-1,-1,-1,-1,-1,127,-1,-1,172,-1,-1,204,-1
149,-1,-1,-1,-1,-1,55,-1,72,-1,78,-1,-1,124,127,-1,-1,-1,-1,-1,-1,-1
150,7,-1,-1,-1,52,55,-1,72,-1,78,-1,-1,-1,127,138,-1,172,-1,193,204,-1
151,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,124,127,-1,-1,-1,-1,-1,-1,-1
152,-1,-1,-1,-1,52,55,-1,72,-1,78,89,103,-1,127,138,156,172,138,193,204,-1
153,-1,-1,-1,-1,52,55,-1,-1,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
154,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
155,-1,-1,-1,-1,52,55,-1,72,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
156,-1,12,19,-1,52,55,-1,72,76,78,-1,-1,-1,127,138,156,172,138,193,204,-1
157,7,-1,19,23,52,55,-1,72,-1,78,-1,-1,-1,127,138,-1,-1,138,-1,204,-1
158,-1,-1,19,-1,52,55,-1,72,-1,78,-1,-1,124,127,138,-1,172,138,193,204,-1
159,7,-1,19,-1,52,55,-1,72,-1,78,-1,103,-1,127,-1,-1,-1,-1,-1,204,-1
160,7,-1,19,23,52,55,-1,72,-1,78,-1,-1,-1,127,-1,-1,172,-1,-1,204,-1
161,-1,-1,19,-1,52,55,-1,-1,-1,78,89,-1,-1,127,138,-1,172,138,-1,204,-1
162,-1,-1,-1,-1,-1,55,-1,-1,-1,78,-1,-1,124,127,-1,-1,-1,-1,-1,-1,-1
163,-1,-1,-1,-1,52,55,-1,72,-1,78,-1,-1,-1,127,138,156,172,-1,-1,204,-1
164,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,-1,127,138,-1,-1,-1,-1,-1,-1
165,-1,12,-1,-1,52,55,-1,-1,-1,78,-1,-1,-1,127,138,156,-1,138,193,204,-1
166,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
167,7,-1,-1,-1,52,55,-1,72,-1,78,89,-1,-1,127,-1,-1,172,-1,-1,204,-1
168,-1,-1,19,-1,52,55,-1,-1,76,78,-1,-1,124,127,138,-1,-1,-1,-1,-1,-1
169,-1,-1,19,-1,52,55,-1,72,-1,78,-1,-1,-1,127,-1,-1,172,-1,193,204,-1
170,7,12,19,-1,52,55,-1,72,-1,78,-1,103,-1,127,138,156,172,138,193,204,-1
171,-1,-1,19,-1,52,55,-1,72,-1,78,-1,-1,-1,127,-1,-1,172,-1,-1,204,-1
172,7,-1,-1,-1,52,55,-1,72,-1,78,-1,103,-1,127,138,156,172,138,193,204,-1
173,-1,-1,19,-1,52,55,-1,72,-1,78,-1,-1,-1,-1,138,156,172,138,193,-1,-1
174,7,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
175,7,-1,-1,-1,52,55,-1,-1,-1,78,89,-1,124,127,138,-1,-1,-1,-1,-1,-1
176,7,-1,-1,-1,52,55,-1,72,-1,78,-1,103,-1,127,138,-1,172,138,-1,204,-1
177,-1,-1,-1,-1,52,55,-1,-1,-1,78,89,-1,-1,127,138,-1,172,-1,-1,-1,-1
178,7,-1,-1,-1,52,55,-1,72,-1,78,-1,-1,-1,127,-1,156,172,-1,193,204,-1
179,-1,-1,-1,-1,-1,55,-1,-1,-1,78,-1,-1,-1,127,-1,-1,172,-1,-1,204,-1
180,-1,-1,-1,-1,52,55,-1,-1,-1,78,-1,-1,-1,127,138,-1,172,-1,-1,204,-1
181,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
182,-1,-1,-1,23,-1,55,-1,72,-1,78,-1,103,-1,127,138,156,-1,138,-1,204,-1
183,7,-1,-1,-1,52,55,-1,72,-1,78,-1,103,-1,127,138,156,172,-1,-1,204,-1
184,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
185,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
186,-1,-1,-1,-1,-1,-1,-1,-1,76,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
187,-1,-1,-1,-1,52,55,-1,-1,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
188,7,-1,19,-1,52,55,-1,72,-1,78,-1,103,-1,127,-1,-1,172,138,-1,204,-1
189,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
190,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
191,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
192,7,-1,-1,-1,52,55,-1,-1,-1,78,-1,-1,-1,127,138,-1,-1,-1,-1,204,-1
193,-1,-1,-1,-1,-1,55,-1,-1,-1,78,89,103,-1,127,138,156,-1,138,-1,204,-1
194,-1,-1,19,-1,52,55,-1,72,-1,78,-1,-1,-1,127,138,-1,172,-1,-1,204,-1
195,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
196,7,-1,19,23,52,55,-1,72,-1,78,-1,-1,-1,127,138,156,172,138,193,204,-1
197,-1,-1,-1,-1,-1,55,-1,72,-1,78,-1,-1,-1,127,-1,156,172,138,-1,204,-1
198,-1,-1,-1,-1,52,55,-1,72,-1,78,-1,103,-1,127,138,156,172,138,-1,204,-1
199,7,-1,-1,-1,52,55,-1,72,-1,78,89,-1,-1,127,138,156,172,-1,-1,204,-1
200,7,-1,-1,-1,52,55,-1,72,-1,78,-1,103,-1,127,138,156,-1,138,-1,204,-1
201,-1,-1,-1,-1,-1,55,-1,72,-1,-1,-1,-1,-1,127,138,-1,-1,138,-1,-1,-1
202,-1,-1,-1,23,52,55,-1,72,-1,78,-1,-1,-1,127,138,-1,-1,-1,-1,-1,-1
203,7,-1,19,-1,52,55,-1,72,-1,78,-1,103,-1,127,138,156,172,-1,-1,204,-1
204,-1,-1,19,23,52,55,-1,72,-1,78,-1,-1,-1,127,138,156,172,138,193,204,-1
205,-1,-1,-1,-1,52,55,-1,72,-1,78,-1,-1,-1,127,138,-1,-1,-1,-1,204,-1
206,-1,-1,19,-1,52,55,-1,72,-1,78,-1,103,-1,127,138,156,172,138,-1,204,-1
207,-1,-1,19,-1,52,55,-1,72,-1,78,-1,-1,-1,127,138,-1,172,-1,-1,-1,-1
208,-1,-1,19,-1,52,55,-1,72,-1,78,-1,-1,-1,127,-1,156,172,138,193,204,-1
209,-1,-1,-1,-1,52,55,-1,-1,-1,78,89,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
210,-1,-1,-1,-1,52,55,-1,72,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
211,-1,12,19,-1,52,55,-1,72,-1,78,89,103,-1,127,-1,156,172,-1,-1,204,-1
212,-1,-1,19,-1,-1,55,-1,72,-1,78,-1,103,-1,127,-1,156,172,138,193,204,-1
213,-1,-1,19,23,52,55,-1,72,-1,78,-1,-1,-1,127,138,-1,172,138,193,204,-1
214,-1,-1,-1,-1,52,55,-1,-1,-1,78,89,-1,-1,127,138,-1,172,138,-1,204,-1
215,-1,-1,19,-1,-1,55,-1,-1,-1,78,-1,-1,-1,127,-1,156,172,-1,-1,-1,-1
216,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,124,127,-1,-1,-1,-1,-1,-1,-1
217,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
218,7,-1,-1,-1,52,55,56,-1,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
219,7,-1,-1,-1,52,55,-1,72,-1,78,-1,-1,-1,127,-1,-1,172,-1,-1,204,-1
220,7,-1,19,-1,-1,55,-1,72,-1,78,-1,103,-1,127,-1,-1,-1,-1,-1,204,-1
221,7,-1,19,-1,52,55,-1,72,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
222,7,-1,-1,-1,52,55,-1,72,-1,78,-1,103,-1,127,138,-1,172,-1,193,204,-1
223,-1,-1,19,-1,52,55,-1,-1,-1,78,-1,-1,-1,127,138,-1,-1,-1,-1,-1,-1
224,7,-1,19,-1,52,55,-1,72,-1,78,-1,-1,-1,127,138,156,172,138,193,204,-1
225,-1,-1,-1,-1,52,55,-1,-1,-1,78,89,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
226,7,-1,-1,-1,52,55,-1,72,-1,78,89,-1,124,127,138,-1,-1,138,-1,204,-1
227,7,-1,-1,-1,52,55,-1,72,-1,78,89,-1,124,127,138,-1,-1,138,-1,204,-1
228,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
229,-1,-1,-1,-1,52,55,-1,72,-1,78,-1,103,-1,127,138,-1,172,-1,193,204,-1
230,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
231,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
232,-1,-1,19,-1,52,55,-1,72,-1,78,-1,-1,-1,127,-1,156,172,138,193,204,-1
233,7,-1,-1,-1,52,55,-1,72,-1,78,-1,-1,-1,127,138,-1,-1,-1,-1,-1,-1
234,-1,-1,-1,-1,52,55,-1,72,-1,78,89,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
235,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,-1,127,-1,-1,-1,-1,-1,-1,-1
236,7,-1,19,-1,52,55,-1,72,-1,78,-1,-1,-1,127,138,156,172,138,193,204,-1
237,7,-1,-1,-1,52,55,-1,72,-1,-1,-1,103,-1,127,138,156,172,138,-1,204,-1
